CustomerID,Age,Gender,MembershipTier,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketSize,ComplaintCount,Churn
CUST_01001,22,Other,Bronze,8,11,1,453.45,453.45,0,0
CUST_01002,47,F,Bronze,10,9,3,845.92,281.97,0,0
CUST_01003,,M,Silver,1,14,9,5662.24,629.14,1,0
CUST_01004,36,Other,Bronze,16,120,5,2276.40,455.28,1,1
CUST_01005,25,Other,Silver,20,17,7,3260.21,465.74,0,0
CUST_01006,33,F,Gold,29,46,24,33676.04,1403.17,0,0
CUST_01007,47,M,Silver,13,19,7,5307.63,758.23,0,0
CUST_01008,37,Other,Bronze,18,41,4,1712.19,428.05,0,1
CUST_01009,44,F,Platinum,1,12,23,31355.99,1363.30,0,0
CUST_01010,35,M,Silver,26,1,11,8487.99,771.64,0,0
CUST_01011,50,Other,Gold,14,24,16,18953.83,1184.61,0,0
CUST_01012,27,F,Bronze,46,14,3,1114.93,371.64,0,1
CUST_01013,31,Other,Bronze,16,50,4,1160.36,290.09,0,1
CUST_01014,32,Other,Bronze,14,43,4,1965.57,491.39,0,0
CUST_01015,34,M,Gold,43,26,15,15899.70,1059.98,0,0
CUST_01016,53,F,Bronze,39,3,4,1601.47,400.37,2,0
CUST_01017,48,F,Bronze,5,10,4,941.52,235.38,1,0
CUST_01018,51,M,Bronze,27,3,6,2809.62,468.27,0,0
CUST_01019,33,F,Bronze,34,3,4,1742.73,435.68,0,0
CUST_01020,32,M,Silver,11,12,11,5049.55,459.05,0,0
CUST_01021,30,F,Gold,30,19,13,14215.41,1093.49,1,0
CUST_01022,32,F,Bronze,31,57,4,1988.71,497.18,1,1
CUST_01023,61,F,Gold,27,6,12,14688.16,1224.01,0,0
CUST_01024,30,Other,Silver,5,10,8,4527.28,565.91,1,0
CUST_01025,29,Other,Gold,2,49,13,16843.40,1295.65,0,0
CUST_01026,28,F,Bronze,1,47,3,1327.31,442.44,0,1
CUST_01027,33,M,Silver,7,3,10,5023.07,502.31,1,0
CUST_01028,52,M,Bronze,15,30,5,2318.18,463.64,0,0
CUST_01029,35,F,Silver,13,6,7,5001.52,714.50,1,1
CUST_01030,34,Other,Silver,16,5,6,4761.79,793.63,0,0
CUST_01031,43,M,Gold,11,16,10,16489.02,1648.90,0,0
CUST_01032,44,M,Silver,9,44,8,5415.07,676.88,1,1
CUST_01033,38,Other,Silver,2,13,7,3799.91,542.84,0,0
CUST_01034,36,M,Platinum,16,12,17,60071.70,3533.63,0,0
CUST_01035,47,M,Gold,17,14,18,25486.20,1415.90,0,0
CUST_01036,42,F,Bronze,16,10,2,763.90,381.95,0,0
CUST_01037,33,F,Silver,13,13,6,2225.34,370.89,0,0
CUST_01038,33,Other,Bronze,25,57,6,1927.37,321.23,0,0
CUST_01039,18,M,Bronze,22,10,3,594.38,198.13,0,0
CUST_01040,43,M,Silver,11,19,8,4381.28,547.66,0,0
CUST_01041,46,F,Silver,42,15,9,6023.37,669.26,0,0
CUST_01042,29,M,Gold,28,39,24,30636.85,1276.54,1,0
CUST_01043,27,F,Bronze,4,1,4,1246.34,311.58,0,0
CUST_01044,40,Other,Platinum,12,19,16,34224.30,2139.02,2,0
CUST_01045,57,Other,Gold,60,31,15,16513.36,1100.89,0,0
CUST_01046,47,Other,Gold,46,21,15,19150.87,1276.72,1,0
CUST_01047,32,F,Gold,11,34,19,23599.15,1242.06,0,0
CUST_01048,56,F,Silver,27,2,8,5217.81,652.23,2,1
CUST_01049,32,M,Bronze,5,13,4,1104.04,276.01,0,0
CUST_01050,48,F,Bronze,7,52,4,1373.14,343.29,1,1
CUST_01051,28,Other,Silver,8,12,10,6953.58,695.36,0,0
CUST_01052,26,F,Bronze,28,1,3,1345.31,448.44,0,0
CUST_01053,38,F,Bronze,56,14,1,382.56,382.56,1,0
CUST_01054,38,F,Bronze,28,3,5,1691.99,338.40,1,0
CUST_01055,26,F,Silver,3,1,4,2980.25,745.06,1,0
CUST_01056,29,F,Bronze,13,11,4,1516.48,379.12,1,0
CUST_01057,43,Other,Silver,53,25,8,5561.31,695.16,1,0
CUST_01058,,M,Platinum,1,27,26,53626.93,2062.57,0,0
CUST_01059,45,M,Bronze,35,51,4,1500.35,375.09,1,1
CUST_01060,38,M,Gold,47,21,12,13622.48,1135.21,0,0
CUST_01061,38,Other,Silver,21,1,3,2163.53,721.18,1,0
CUST_01062,28,M,Gold,25,10,12,15705.86,1308.82,0,0
CUST_01063,37,M,Bronze,5,5,2,659.50,329.75,0,0
CUST_01064,41,M,Gold,30,37,16,19300.91,1206.31,0,0
CUST_01065,24,F,Silver,4,15,7,4053.74,579.11,0,0
CUST_01066,39,M,Bronze,31,2,4,1435.87,358.97,0,0
CUST_01067,44,Other,Gold,62,5,14,18048.70,1289.19,0,0
CUST_01068,46,Other,Gold,35,6,15,18825.36,1255.02,0,0
CUST_01069,43,M,Bronze,1,29,4,1304.36,326.09,0,0
CUST_01070,43,F,Gold,18,1,18,15657.21,869.84,0,0
CUST_01071,49,Other,Platinum,1,32,31,63676.26,2054.07,0,0
CUST_01072,48,F,Bronze,1,17,3,1101.79,367.26,1,1
CUST_01073,50,F,Bronze,1,19,3,1095.84,365.28,0,0
CUST_01074,46,F,Silver,2,12,9,5605.91,622.88,0,0
CUST_01075,52,F,Bronze,29,31,4,1779.99,445.00,1,0
CUST_01076,47,M,Silver,1,2,8,5238.87,654.86,1,0
CUST_01077,50,Other,Silver,3,37,8,4839.07,604.88,0,1
CUST_01078,43,Other,Silver,38,26,5,2833.60,566.72,0,1
CUST_01079,27,M,Silver,28,120,12,8523.43,710.29,1,1
CUST_01080,36,M,Bronze,9,102,4,1653.55,413.39,1,1
CUST_01081,43,M,Bronze,18,1,3,1053.12,351.04,1,0
CUST_01082,49,Other,Silver,15,9,10,7533.05,753.31,0,0
CUST_01083,32,F,Bronze,17,9,3,1159.13,386.38,1,0
CUST_01084,30,Other,Bronze,63,3,3,1544.62,514.87,0,0
CUST_01085,40,F,Bronze,19,9,4,1883.19,470.80,0,0
CUST_01086,18,Other,Bronze,16,19,4,1222.75,305.69,1,0
CUST_01087,54,F,Bronze,8,1,3,1417.90,472.63,0,0
