CustomerID,Age,Gender,MembershipTier,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketSize,ComplaintCount
CUST_05001,46,F,Platinum,23,27,21,55181.61,2627.70,1
CUST_05002,48,M,Platinum,48,59,22,54285.98,2467.54,1
CUST_05003,43,F,Platinum,19,51,20,51965.06,2598.25,0
CUST_05004,44,F,Platinum,4,9,22,49756.64,2261.67,0
CUST_05005,38,M,Gold,14,52,11,13113.30,1192.12,2
CUST_05006,38,M,Silver,34,61,3,2395.63,798.54,0
CUST_05007,52,M,Bronze,22,35,1,659.65,659.65,1
CUST_05008,36,M,Bronze,35,22,2,1121.45,560.73,1
CUST_05009,37,M,Gold,16,83,15,19745.19,1316.35,2
CUST_05010,41,M,Silver,28,29,6,2755.68,459.28,0
CUST_05011,45,F,Silver,38,77,7,5407.93,772.56,0
CUST_05012,29,F,Gold,38,6,17,21604.37,1270.85,0
CUST_05013,46,F,Gold,47,37,19,25838.26,1359.91,0
CUST_05014,37,M,Platinum,32,12,19,51544.53,2712.87,0
CUST_05015,58,M,Platinum,2,40,25,60605.29,2424.21,0
CUST_05016,51,F,Bronze,27,42,1,538.52,538.52,1
CUST_05017,56,M,Platinum,25,63,20,49438.10,2471.90,0
CUST_05018,30,M,Platinum,4,74,21,52827.15,2515.58,2
CUST_05019,39,F,Platinum,21,45,20,55011.56,2750.58,0
CUST_05020,24,M,Gold,5,39,11,12840.42,1167.31,1
CUST_05021,26,M,Silver,31,49,6,3860.49,643.41,0
CUST_05022,47,F,Platinum,6,73,21,53192.09,2532.96,1
CUST_05023,49,M,Silver,43,70,10,4724.57,472.46,0
CUST_05024,46,F,Platinum,32,20,20,55602.13,2780.11,1
CUST_05025,40,F,Bronze,18,34,3,1322.52,440.84,2
CUST_05026,41,F,Silver,17,5,7,4456.19,636.60,0
CUST_05027,43,F,Platinum,24,35,19,44981.01,2367.42,1
CUST_05028,39,M,Gold,25,20,13,14524.48,1117.27,1
CUST_05029,32,M,Silver,28,80,8,4556.09,569.51,1
CUST_05030,42,F,Gold,6,60,17,19869.85,1168.81,0
CUST_05031,33,F,Silver,23,47,5,5233.80,1046.76,1
CUST_05032,35,M,Silver,44,29,7,3532.60,504.66,1
CUST_05033,27,M,Gold,6,62,17,17950.70,1055.92,0
CUST_05034,21,M,Bronze,46,18,1,233.19,233.19,0
CUST_05035,43,M,Silver,18,57,2,1595.10,797.55,1
CUST_05036,36,M,Silver,39,28,3,2621.72,873.91,1
CUST_05037,37,M,Bronze,33,78,5,1127.94,225.59,1
CUST_05038,42,F,Bronze,2,19,1,150.00,150.00,1
CUST_05039,45,F,Gold,48,19,11,14301.53,1300.14,2
CUST_05040,34,M,Silver,8,19,9,8004.97,889.44,0
CUST_05041,31,M,Gold,48,51,12,15726.46,1310.54,2
CUST_05042,47,M,Platinum,46,26,22,56187.99,2554.00,0
CUST_05043,33,F,Silver,45,48,7,5354.84,764.98,0
CUST_05044,41,F,Platinum,10,44,22,59096.48,2686.20,0
CUST_05045,43,M,Gold,22,79,14,17669.12,1262.08,0
CUST_05046,20,M,Silver,5,21,8,4459.98,557.50,0
CUST_05047,40,M,Gold,25,4,12,15186.40,1265.53,0
CUST_05048,23,F,Silver,34,9,8,4085.06,510.63,1
CUST_05049,31,F,Gold,19,3,12,13977.61,1164.80,0
CUST_05050,56,F,Bronze,31,64,5,2444.06,488.81,0
CUST_05051,33,F,Silver,33,63,4,2429.23,607.31,1
CUST_05052,34,M,Gold,18,59,12,16156.20,1346.35,1
CUST_05053,24,M,Gold,21,74,17,23133.49,1360.79,0
CUST_05054,36,F,Platinum,28,57,25,67371.75,2694.87,0
CUST_05055,24,F,Gold,13,62,12,14108.71,1175.73,0
CUST_05056,21,M,Bronze,43,15,3,1472.92,490.97,0
CUST_05057,31,M,Silver,32,82,5,3971.04,794.21,1
CUST_05058,30,M,Silver,20,60,5,3487.66,697.53,1
CUST_05059,44,F,Silver,30,17,7,4569.75,652.82,1
CUST_05060,35,M,Silver,38,49,5,4421.93,884.39,0
CUST_05061,57,F,Bronze,28,26,1,418.99,418.99,2
CUST_05062,39,M,Gold,40,14,17,22401.58,1317.74,0
CUST_05063,42,F,Platinum,19,40,23,57460.42,2498.28,2
CUST_05064,58,M,Bronze,18,21,4,2363.23,590.81,2
CUST_05065,43,F,Silver,30,53,7,4604.09,657.73,0
CUST_05066,32,M,Bronze,42,67,6,1116.22,186.04,1
CUST_05067,35,F,Silver,14,72,9,6123.63,680.40,0
CUST_05068,32,F,Bronze,5,57,4,3106.84,776.71,0
CUST_05069,20,M,Platinum,23,39,21,49236.40,2344.59,0
