TransactionID,Date,StoreID,StoreType,ProductID,ProductName,Category,UnitsSold,UnitPrice,DiscountRate,SalesAmount,WasteUnits,WasteCost,IsWeekend
TX000001,2026-06-13,ST001_Siam,Hypermarket,PRD_BAK_001,Croissant Butter,Bakery,9,45.00,0.20,324.00,0,0.00,1
TX000002,2026-05-20,ST001_Siam,Hypermarket,PRD_BEV_001,Cold Pressed Orange Juice,Beverages,9,65.00,0.10,526.50,0,0.00,0
TX000003,2026-03-01,ST005_Ladprao,Hypermarket,PRD_BEV_001,Cold Pressed Orange Juice,Beverages,4,65.00,0.00,260.00,0,0.00,1
TX000004,2026-04-25,ST005_Ladprao,Hypermarket,PRD_PRD_001,Organic Avocado,Produce,6,69.00,0.00,414.00,0,0.00,1
TX000005,2026-04-19,ST003_Silom,Express,PRD_PRD_001,Organic Avocado,Produce,4,69.00,0.00,276.00,3,124.20,1
TX000006,2026-04-02,ST003_Silom,Express,PRD_BEV_001,Cold Pressed Orange Juice,Beverages,5,65.00,0.05,308.75,0,0.00,0
TX000007,2026-04-07,ST001_Siam,Hypermarket,PRD_DAI_002,Greek Yogurt Plain,Dairy,5,35.00,0.05,166.25,0,0.00,0
TX000008,2026-04-03,ST005_Ladprao,Hypermarket,PRD_BAK_004,Danish Apple,Bakery,12,50.00,0.20,480.00,0,0.00,0
TX000009,2026-03-01,ST001_Siam,Hypermarket,PRD_PRD_003,Sweet Cherry Tomato,Produce,8,49.00,0.05,372.40,0,0.00,1
TX000010,2026-02-11,ST003_Silom,Express,PRD_PRD_002,Japanese Salad Mix,Produce,2,59.00,0.00,118.00,0,0.00,0
TX000011,2026-06-12,ST002_Sukhumvit,Supermarket,PRD_DAI_002,Greek Yogurt Plain,Dairy,2,35.00,0.00,70.00,0,0.00,0
TX000012,2026-06-13,ST005_Ladprao,Hypermarket,PRD_BAK_004,Danish Apple,Bakery,8,50.00,0.20,320.00,2,60.00,1
TX000013,2026-03-22,ST004_Ari,Supermarket,PRD_PRD_001,Organic Avocado,Produce,5,69.00,0.00,345.00,0,0.00,1
TX000014,2026-06-17,ST004_Ari,Supermarket,PRD_PRD_003,Sweet Cherry Tomato,Produce,10,49.00,0.20,392.00,0,0.00,0
TX000015,2026-03-05,ST005_Ladprao,Hypermarket,PRD_DAI_002,Greek Yogurt Plain,Dairy,7,35.00,0.05,232.75,0,0.00,0
TX000016,2026-02-05,ST005_Ladprao,Hypermarket,PRD_DAI_001,Fresh Milk Pasteurized 1L,Dairy,5,48.00,0.00,240.00,0,0.00,0
TX000017,2026-02-09,ST002_Sukhumvit,Supermarket,PRD_BEV_002,Organic Green Tea,Beverages,4,40.00,0.10,144.00,0,0.00,0
TX000018,2026-03-06,ST005_Ladprao,Hypermarket,PRD_BAK_001,Croissant Butter,Bakery,9,45.00,0.20,324.00,0,0.00,0
TX000019,2026-05-18,ST003_Silom,Express,PRD_BEV_002,Organic Green Tea,Beverages,5,40.00,0.05,190.00,0,0.00,0
TX000020,2026-03-09,ST005_Ladprao,Hypermarket,PRD_BAK_003,Baguette Traditional,Bakery,10,40.00,0.15,340.00,0,0.00,0
TX000021,2026-03-18,ST005_Ladprao,Hypermarket,PRD_BEV_001,Cold Pressed Orange Juice,Beverages,8,65.00,0.00,520.00,0,0.00,0
TX000022,2026-05-16,ST001_Siam,Hypermarket,PRD_BEV_001,Cold Pressed Orange Juice,Beverages,9,65.00,0.05,555.75,0,0.00,1
TX000023,2026-04-03,ST003_Silom,Express,PRD_BAK_004,Danish Apple,Bakery,4,50.00,0.00,200.00,3,90.00,0
TX000024,2026-01-18,ST005_Ladprao,Hypermarket,PRD_BAK_003,Baguette Traditional,Bakery,4,40.00,0.00,160.00,1,24.00,1
TX000025,2026-06-05,ST004_Ari,Supermarket,PRD_BAK_004,Danish Apple,Bakery,6,50.00,0.15,255.00,0,0.00,0
TX000026,2026-06-21,ST003_Silom,Express,PRD_DAI_001,Fresh Milk Pasteurized 1L,Dairy,2,48.00,0.10,86.40,2,57.60,1
TX000027,2026-02-28,ST005_Ladprao,Hypermarket,PRD_BAK_004,Danish Apple,Bakery,8,50.00,0.00,400.00,1,30.00,1
